FIPS_Code,Less_hschool_diploma_2015_2019,Hschool_diploma_only_2015_2019,some_college,Fouryr_college_degree_or_higher,Value,state,county_name,total_votes,winning_party
1123,"5,546","9,376","8,458",18.4,6341,ALABAMA,TALLAPOOSA,5859,DEMOCRAT
1125,"15,036","38,580","35,780",30.7,32226,ALABAMA,TUSCALOOSA,51117,REPUBLICAN
1127,"8,141","16,796","14,765",11.3,10837,ALABAMA,WALKER,4834,DEMOCRAT
1129,"1,971","4,886","3,052",12.7,2998,ALABAMA,WASHINGTON,6564,REPUBLICAN
1131,"1,675","2,808","1,742",12.5,3329,ALABAMA,WILCOX,4048,DEMOCRAT
1133,"3,635","6,556","4,764",12.8,3882,ALABAMA,WINSTON,974,DEMOCRAT
2000,"34,376","134,582","169,609",29.6,73033,,,,
,,,,,,ALASKA,DISTRICT 1,3511,REPUBLICAN
,,,,,,ALASKA,DISTRICT 2,3674,REPUBLICAN
,,,,,,ALASKA,DISTRICT 3,6076,REPUBLICAN
,,,,,,ALASKA,DISTRICT 4,5345,DEMOCRAT
,,,,,,ALASKA,DISTRICT 5,4204,DEMOCRAT
,,,,,,ALASKA,DISTRICT 6,5770,REPUBLICAN
,,,,,,ALASKA,DISTRICT 7,7027,REPUBLICAN
,,,,,,ALASKA,DISTRICT 8,7618,REPUBLICAN
,,,,,,ALASKA,DISTRICT 9,7787,REPUBLICAN
2010,,,,,,ALASKA,DISTRICT 10,8081,REPUBLICAN
,,,,,,ALASKA,DISTRICT 11,7096,REPUBLICAN
,,,,,,ALASKA,DISTRICT 12,7893,REPUBLICAN
2013,380,"1,137",798,11.5,492,ALASKA,DISTRICT 13,4652,REPUBLICAN
,,,,,,ALASKA,DISTRICT 14,6714,REPUBLICAN
,,,,,,ALASKA,DISTRICT 15,2671,REPUBLICAN
2016,435,"1,611","1,378",17,414,ALASKA,DISTRICT 16,4274,DEMOCRAT
,,,,,,ALASKA,DISTRICT 17,4136,DEMOCRAT
,,,,,,ALASKA,DISTRICT 18,4681,DEMOCRAT
,,,,,,ALASKA,DISTRICT 19,3118,DEMOCRAT
2020,"11,701","44,936","65,951",36.1,26636,ALASKA,DISTRICT 20,4881,DEMOCRAT
,,,,,,ALASKA,DISTRICT 21,5414,DEMOCRAT
,,,,,,ALASKA,DISTRICT 22,4684,REPUBLICAN
,,,,,,ALASKA,DISTRICT 23,3810,DEMOCRAT
,,,,,,ALASKA,DISTRICT 24,5378,REPUBLICAN
,,,,,,ALASKA,DISTRICT 25,4600,DEMOCRAT
,,,,,,ALASKA,DISTRICT 26,5243,REPUBLICAN
,,,,,,ALASKA,DISTRICT 27,4844,DEMOCRAT
,,,,,,ALASKA,DISTRICT 28,6264,DEMOCRAT
,,,,,,ALASKA,DISTRICT 29,7464,REPUBLICAN
,,,,,,ALASKA,DISTRICT 30,7180,REPUBLICAN
,,,,,,ALASKA,DISTRICT 31,6971,REPUBLICAN
,,,,,,ALASKA,DISTRICT 32,4440,REPUBLICAN
,,,,,,ALASKA,DISTRICT 33,7535,DEMOCRAT
,,,,,,ALASKA,DISTRICT 34,5763,DEMOCRAT
,,,,,,ALASKA,DISTRICT 35,5011,DEMOCRAT
,,,,,,ALASKA,DISTRICT 36,5114,REPUBLICAN
,,,,,,ALASKA,DISTRICT 37,2560,DEMOCRAT
,,,,,,ALASKA,DISTRICT 38,3202,DEMOCRAT
,,,,,,ALASKA,DISTRICT 39,3580,DEMOCRAT
,,,,,,ALASKA,DISTRICT 40,2318,DEMOCRAT
2050,"1,871","4,550","2,216",11.9,4249,,,,
2060,38,235,219,22.5,80,,,,
2068,25,423,511,41.1,132,,,,
2070,396,"1,078",782,22.1,883,,,,
2090,"3,406","13,993","25,045",31.4,6656,,,,
,,,,,,ALASKA,DISTRICT 99,59,REPUBLICAN
2100,46,558,621,33.8,247,,,,
2105,107,659,580,21.3,336,,,,
2110,818,"4,875","8,202",38.4,1951,,,,
2122,"2,977","12,702","14,977",24.6,5966,,,,
2130,697,"2,864","3,644",25.3,1283,,,,
2150,912,"2,653","2,868",28,909,,,,
2158,847,"2,246",760,3.9,2217,,,,
2160,,,,,,,,,
2164,110,406,254,16.1,275,,,,
2170,"4,808","22,553","26,100",21.6,10142,,,,
2180,852,"2,270","1,507",16.1,2033,,,,
2185,668,"2,795","1,967",16.5,1109,,,,
2188,735,"1,964",953,13.2,1805,,,,
2195,227,696,649,28.4,219,,,,
2198,410,"1,689","1,544",18.3,1085,,,,
2201,,,,,,,,,
2220,325,"1,683","2,087",33.4,672,,,,
2230,46,253,311,29.6,47,,,,
2231,,,,,,,,,
2232,,,,,,,,,
2240,458,"1,546","1,624",19.7,823,,,,
2250,,,,,,,,,
2261,300,"1,997","2,185",30.8,781,,,,
2275,259,679,613,19.4,240,,,,
2280,,,,,,,,,
2282,39,148,155,22.6,85,,,,
2290,483,"1,383","1,108",13.6,1266,,,,
4000,"608,637","1,129,129","1,600,240",29.5,963007,,,,
4001,"8,809","14,491","16,120",12.3,23680,ARIZONA,APACHE,7262,REPUBLICAN
4003,"11,057","21,124","35,205",23.1,20172,ARIZONA,COCHISE,7714,REPUBLICAN
4005,"7,876","18,310","26,852",36.2,20817,ARIZONA,COCONINO,6446,REPUBLICAN
4007,"5,378","10,955","15,629",18.7,11219,ARIZONA,GILA,7481,DEMOCRAT
4009,"3,495","6,809","9,810",15.2,7207,ARIZONA,GRAHAM,7289,REPUBLICAN
4011,699,"2,032","2,332",13.5,876,ARIZONA,GREENLEE,996,DEMOCRAT
4012,"3,702","5,000","5,423",12,4593,ARIZONA,LA PAZ,587,REPUBLICAN
4013,"353,350","644,671","939,477",32.7,539670,ARIZONA,MARICOPA,978457,DEMOCRAT
4015,"22,068","55,982","59,836",12.9,33183,ARIZONA,MOHAVE,683,REPUBLICAN
4017,"11,720","21,383","26,664",15.3,27440,ARIZONA,NAVAJO,91,DEMOCRAT
4019,"79,892","153,022","232,157",32.4,142859,ARIZONA,PIMA,8344,REPUBLICAN
4021,"42,607","87,608","110,668",19.5,52975,ARIZONA,PINAL,9812,DEMOCRAT
4023,"6,857","8,398","8,060",20.4,8688,ARIZONA,SANTA CRUZ,74,DEMOCRAT
4025,"15,683","45,277","68,914",25.9,27845,ARIZONA,YAVAPAI,76416,REPUBLICAN
4027,"35,444","34,067","43,093",15,41782,ARIZONA,YUMA,657,REPUBLICAN
5000,"270,168","684,659","593,576",23,468575,,,,
5001,"1,999","4,832","3,633",15.8,2714,ARKANSAS,ARKANSAS,500,REPUBLICAN
5003,"2,307","6,027","3,765",12.3,3603,ARKANSAS,ASHLEY,7,DEMOCRAT
5005,"3,581","11,536","10,976",17.9,5248,ARKANSAS,BAXTER,449,DEMOCRAT
5007,"19,857","50,742","45,308",33.4,24525,ARKANSAS,BENTON,9176,DEMOCRAT
5009,"3,271","8,675","9,844",16.1,5572,ARKANSAS,BOONE,9235,REPUBLICAN
5011,"1,426","3,105","1,911",14.3,2426,ARKANSAS,BRADLEY,772,REPUBLICAN
5013,586,"1,661","1,046",11.4,771,ARKANSAS,CALHOUN,958,REPUBLICAN
5015,"2,724","7,134","5,781",21.2,4118,ARKANSAS,CARROLL,627,REPUBLICAN
5017,"1,431","2,833","1,995",15.9,2900,ARKANSAS,CHICOT,824,DEMOCRAT
5019,"1,323","3,976","4,364",26.6,3971,ARKANSAS,CLARK,515,DEMOCRAT
5021,"1,845","4,410","2,947",12.6,2691,ARKANSAS,CLAY,954,REPUBLICAN
5023,"2,627","8,007","5,153",15.5,3452,ARKANSAS,CLEBURNE,6289,REPUBLICAN
5025,594,"2,653","1,526",16.2,1080,ARKANSAS,CLEVELAND,84,REPUBLICAN
5025,594,"2,653","1,526",16.2,1080,ARKANSAS,CLEVELAND,84,DEMOCRAT
5027,"2,071","6,116","3,595",19.6,4509,ARKANSAS,COLUMBIA,756,REPUBLICAN
5029,"1,876","6,352","3,995",15.6,3215,ARKANSAS,CONWAY,554,DEMOCRAT
5031,"7,362","23,849","19,662",26.2,17960,ARKANSAS,CRAIGHEAD,7574,DEMOCRAT
5033,"6,347","15,753","13,409",16,11436,ARKANSAS,CRAWFORD,964,REPUBLICAN
5035,"5,385","10,768","9,414",17.4,10520,ARKANSAS,CRITTENDEN,79,REPUBLICAN
5037,"1,883","4,778","3,191",14.4,2874,ARKANSAS,CROSS,976,REPUBLICAN
5039,826,"2,267","1,442",11.9,1241,ARKANSAS,DALLAS,884,REPUBLICAN
5041,"1,482","3,491","1,753",14.1,2859,ARKANSAS,DESHA,8,DEMOCRAT
5043,"1,526","4,115","3,364",22.8,3191,ARKANSAS,DREW,950,REPUBLICAN
5045,"6,196","23,112","23,378",30.6,17459,ARKANSAS,FAULKNER,83,REPUBLICAN
5047,"1,956","4,930","3,672",12.1,2830,ARKANSAS,FRANKLIN,871,DEMOCRAT
5049,"1,275","3,171","3,322",12.2,2169,ARKANSAS,FULTON,642,DEMOCRAT
5051,"7,779","22,462","25,762",21.6,16532,ARKANSAS,GARLAND,9612,DEMOCRAT
5053,"1,170","5,570","3,600",18.7,2189,ARKANSAS,GRANT,777,DEMOCRAT
5055,"3,536","13,792","7,887",16.2,6925,ARKANSAS,GREENE,9917,REPUBLICAN
5057,"2,491","5,276","4,400",15.1,3930,ARKANSAS,HEMPSTEAD,454,DEMOCRAT
5059,"3,442","9,474","8,150",13.3,6322,ARKANSAS,HOT SPRING,7204,REPUBLICAN
5061,"1,297","3,371","2,921",13.6,2176,ARKANSAS,HOWARD,799,REPUBLICAN
5063,"3,512","9,451","7,753",17.5,5852,ARKANSAS,INDEPENDENCE,7943,REPUBLICAN
5065,"1,653","3,876","3,334",13.1,2003,ARKANSAS,IZARD,614,DEMOCRAT
5067,"2,421","5,186","3,361",10.1,3313,ARKANSAS,JACKSON,952,DEMOCRAT
5069,"6,499","18,240","13,726",18,14942,ARKANSAS,JEFFERSON,99,DEMOCRAT
5071,"3,678","7,082","3,982",15.4,4521,ARKANSAS,JOHNSON,71,REPUBLICAN
5073,995,"1,972","1,161",15.8,1655,ARKANSAS,LAFAYETTE,499,DEMOCRAT
5075,"1,782","4,340","3,377",15.4,2887,ARKANSAS,LAWRENCE,661,DEMOCRAT
5077,"1,632","2,728","1,668",10.7,2515,ARKANSAS,LEE,885,DEMOCRAT
5079,"1,951","4,878","2,481",9.7,2567,ARKANSAS,LINCOLN,446,DEMOCRAT
5081,960,"3,882","2,762",12.5,2157,ARKANSAS,LITTLE RIVER,904,DEMOCRAT
5083,"2,108","6,902","4,256",13.3,3640,ARKANSAS,LOGAN,952,DEMOCRAT
5085,"5,246","17,701","15,363",20.6,7760,ARKANSAS,LONOKE,927,DEMOCRAT
5087,"2,164","4,903","2,522",14.2,2699,ARKANSAS,MADISON,786,DEMOCRAT
5089,"1,700","4,727","4,022",17.1,2687,ARKANSAS,MARION,855,DEMOCRAT
5091,"4,018","10,473","10,200",16.8,5909,ARKANSAS,MILLER,8789,REPUBLICAN
5093,"5,137","10,586","7,757",13.8,9128,ARKANSAS,MISSISSIPPI,824,DEMOCRAT
5095,"1,064","2,077","1,252",12.7,1681,ARKANSAS,MONROE,917,REPUBLICAN
5097,"1,351","2,432","2,002",13.5,1756,ARKANSAS,MONTGOMERY,938,REPUBLICAN
5099,562,"2,513","1,917",14.6,1951,ARKANSAS,NEVADA,858,REPUBLICAN
5101,774,"2,026","1,754",20.5,1386,ARKANSAS,NEWTON,44,REPUBLICAN
5103,"2,286","6,816","4,908",14.5,3969,ARKANSAS,OUACHITA,990,REPUBLICAN
5105,"1,099","3,022","2,213",12.7,1710,ARKANSAS,PERRY,84,REPUBLICAN
5107,"2,367","3,833","4,146",13.8,5841,ARKANSAS,PHILLIPS,80,REPUBLICAN
5109,949,"2,865","2,410",17.3,1769,ARKANSAS,PIKE,93,DEMOCRAT
5111,"3,204","7,019","4,265",11.1,5339,ARKANSAS,POINSETT,706,DEMOCRAT
5113,"2,119","5,136","4,817",14.1,3991,ARKANSAS,POLK,799,DEMOCRAT
5115,"6,286","14,253","10,742",22.8,10218,ARKANSAS,POPE,930,REPUBLICAN
5117,"1,004","2,388","1,663",15.4,1190,ARKANSAS,PRAIRIE,8,DEMOCRAT
5119,"25,739","69,244","80,241",34.3,56020,ARKANSAS,PULASKI,865,DEMOCRAT
5121,"2,093","4,417","4,028",13.8,3036,ARKANSAS,RANDOLPH,807,DEMOCRAT
5123,"3,239","6,739","6,075",10.4,6679,ARKANSAS,ST. FRANCIS,850,DEMOCRAT
5125,"7,756","25,927","26,944",26.7,11665,ARKANSAS,SALINE,6926,REPUBLICAN
5127,"1,460","2,853","2,034",9.3,1983,ARKANSAS,SCOTT,76,DEMOCRAT
5129,"1,057","2,326","1,721",11.9,1740,ARKANSAS,SEARCY,990,REPUBLICAN
5131,"13,548","26,385","26,951",21.3,19923,ARKANSAS,SEBASTIAN,9978,DEMOCRAT
5133,"2,510","4,003","2,806",12.8,2962,ARKANSAS,SEVIER,9,REPUBLICAN
5135,"2,052","5,071","4,022",10.2,4007,ARKANSAS,SHARP,896,DEMOCRAT
5137,"1,737","3,215","2,987",13.9,2378,ARKANSAS,STONE,706,DEMOCRAT
5139,"4,029","9,509","7,583",21.1,7216,ARKANSAS,UNION,801,DEMOCRAT
5141,"1,820","5,213","3,425",14.5,3235,ARKANSAS,VAN BUREN,992,DEMOCRAT
5143,"21,148","36,273","36,611",33.3,34731,ARKANSAS,WASHINGTON,8817,DEMOCRAT
5145,"7,975","20,092","12,382",20.9,11613,ARKANSAS,WHITE,969,DEMOCRAT
5147,853,"2,041","1,113",14,1678,ARKANSAS,WOODRUFF,771,REPUBLICAN
5149,"3,160","5,806","3,673",12.8,3265,ARKANSAS,YELL,9,DEMOCRAT
6000,"4,418,675","5,423,462","7,648,680",33.9,4560419,,,,
6001,"135,524","205,980","275,053",47.4,146315,CALIFORNIA,ALAMEDA,617659,DEMOCRAT
6003,68,216,220,34.5,193,CALIFORNIA,ALPINE,476,DEMOCRAT
6005,"3,024","8,322","13,112",19.3,3462,CALIFORNIA,AMADOR,8153,DEMOCRAT
6007,"15,864","33,186","58,310",27.2,34503,CALIFORNIA,BUTTE,50426,DEMOCRAT
6009,"3,424","9,759","15,281",18.3,5477,CALIFORNIA,CALAVERAS,16518,REPUBLICAN
6011,"3,932","3,586","4,107",15,2554,CALIFORNIA,COLUSA,4559,REPUBLICAN
6013,"82,921","135,825","235,034",42.4,90482,CALIFORNIA,CONTRA COSTA,416386,DEMOCRAT
6015,"3,918","6,095","6,724",14.8,4445,CALIFORNIA,DEL NORTE,6461,REPUBLICAN
6017,"9,029","29,137","51,867",34.3,16649,CALIFORNIA,EL DORADO,61838,REPUBLICAN
6019,"145,232","137,213","193,773",21.2,200873,CALIFORNIA,FRESNO,193025,DEMOCRAT
6021,"4,518","4,890","6,002",14.2,3397,CALIFORNIA,GLENN,7063,REPUBLICAN
6023,"8,811","20,505","35,024",30.4,25136,CALIFORNIA,HUMBOLDT,44768,DEMOCRAT
6025,"33,336","26,782","33,247",15.2,38020,CALIFORNIA,IMPERIAL,34678,DEMOCRAT
6027,"1,508","3,775","4,334",27.2,2071,CALIFORNIA,INYO,4634,DEMOCRAT
6029,"139,316","149,493","160,896",16.4,164817,CALIFORNIA,KERN,164484,REPUBLICAN
6031,"24,758","23,488","31,040",14.7,21840,CALIFORNIA,KINGS,24072,REPUBLICAN
6033,"6,604","14,169","18,441",15.5,11622,CALIFORNIA,LAKE,14941,DEMOCRAT
6035,"3,807","7,799","8,081",12.9,3789,CALIFORNIA,LASSEN,8970,REPUBLICAN
6037,"1,437,059","1,419,449","1,789,308",32.5,1319242,CALIFORNIA,LOS ANGELES,3028885,DEMOCRAT
6039,"27,373","24,303","31,659",14.6,26309,CALIFORNIA,MADERA,29378,REPUBLICAN
6041,"12,759","20,018","44,352",59.5,17357,CALIFORNIA,MARIN,24612,REPUBLICAN
6043,"1,283","3,320","5,681",24.6,2565,CALIFORNIA,MARIPOSA,5950,REPUBLICAN
6045,"8,346","15,528","22,974",24.4,11980,CALIFORNIA,MENDOCINO,28782,DEMOCRAT
6047,"49,522","40,500","48,248",13.8,46011,CALIFORNIA,MERCED,48991,DEMOCRAT
6049,"1,025","2,224","2,467",15.2,1757,CALIFORNIA,MODOC,3109,REPUBLICAN
6051,"1,135","2,402","3,529",28.8,1437,CALIFORNIA,MONO,4013,DEMOCRAT
6053,"78,519","56,000","73,043",24.7,52484,CALIFORNIA,MONTEREY,46299,REPUBLICAN
6055,"14,227","17,473","31,432",35.7,9897,CALIFORNIA,NAPA,49817,DEMOCRAT
6057,"4,286","13,957","29,450",37.2,9268,CALIFORNIA,NEVADA,36359,DEMOCRAT
6059,"315,045","373,447","599,846",40.6,297658,CALIFORNIA,ORANGE,814009,DEMOCRAT
6061,"14,777","48,614","99,628",39.7,26170,CALIFORNIA,PLACER,122488,REPUBLICAN
6063,709,"3,773","6,565",23.7,2432,CALIFORNIA,PLUMAS,6445,REPUBLICAN
6065,"280,136","418,902","512,894",22.3,274953,CALIFORNIA,RIVERSIDE,528340,DEMOCRAT
6067,"126,265","230,622","354,374",30.9,192993,CALIFORNIA,SACRAMENTO,440808,DEMOCRAT
6069,"7,616","9,644","14,012",19.7,6518,CALIFORNIA,SAN BENITO,17628,DEMOCRAT
6071,"270,241","355,250","441,645",21,284359,CALIFORNIA,SAN BERNARDINO,455859,DEMOCRAT
6073,"282,031","409,613","683,145",38.8,335034,CALIFORNIA,SAN DIEGO,964650,DEMOCRAT
6075,"80,204","83,795","127,615",58.1,82616,CALIFORNIA,SAN FRANCISCO,56417,REPUBLICAN
6077,"96,843","132,461","150,446",18.8,101772,CALIFORNIA,SAN JOAQUIN,161137,DEMOCRAT
6079,"16,514","37,609","67,922",35.4,31180,CALIFORNIA,SAN LUIS OBISPO,88310,DEMOCRAT
6081,"57,386","81,909","130,946",51,46328,CALIFORNIA,SAN MATEO,75584,REPUBLICAN
6083,"52,419","49,006","79,694",34.2,51298,CALIFORNIA,SANTA BARBARA,65736,REPUBLICAN
6085,"155,203","188,180","292,055",52.4,116401,CALIFORNIA,SANTA CLARA,617967,DEMOCRAT
6087,"24,593","27,933","53,963",40.8,27531,CALIFORNIA,SANTA CRUZ,26937,REPUBLICAN
6089,"11,275","32,118","55,087",22.2,23508,CALIFORNIA,SHASTA,60789,REPUBLICAN
6091,185,766,"1,035",17.9,375,CALIFORNIA,SIERRA,730,DEMOCRAT
6093,"3,095","8,074","13,170",23.2,7484,CALIFORNIA,SISKIYOU,9593,DEMOCRAT
6095,"35,139","72,340","114,484",26.9,39018,CALIFORNIA,SOLANO,69306,REPUBLICAN
6097,"40,280","67,371","124,081",35.5,34758,CALIFORNIA,SONOMA,61825,REPUBLICAN
6099,"72,491","100,758","111,725",17.1,70741,CALIFORNIA,STANISLAUS,105841,DEMOCRAT
6101,"13,673","14,613","22,916",18.2,12310,CALIFORNIA,SUTTER,24375,REPUBLICAN
6103,"6,780","13,212","16,990",15.7,10484,CALIFORNIA,TEHAMA,8911,DEMOCRAT
6105,752,"3,428","3,745",19.5,1986,CALIFORNIA,TRINITY,3188,REPUBLICAN
6107,"79,125","69,314","83,215",14.6,86940,CALIFORNIA,TULARE,77579,REPUBLICAN
6109,"3,829","11,691","17,313",20.5,5781,CALIFORNIA,TUOLUMNE,17689,REPUBLICAN
6111,"85,256","109,206","183,009",33.8,68482,CALIFORNIA,VENTURA,251388,DEMOCRAT
6113,"17,179","23,086","34,470",41.4,35608,CALIFORNIA,YOLO,67598,DEMOCRAT
6115,"8,506","11,333","20,001",17.1,11748,CALIFORNIA,YUBA,17676,REPUBLICAN
8000,"315,751","817,452","1,127,242",40.9,531331,,,,
8001,"52,590","92,779","100,196",24.3,47464,COLORADO,ADAMS,95657,REPUBLICAN
8003,"1,264","2,742","3,204",25,3019,COLORADO,ALAMOSA,3813,REPUBLICAN
8005,"32,339","91,255","127,088",42.8,47072,COLORADO,ARAPAHOE,213607,DEMOCRAT
8007,777,"2,131","3,462",37.2,1502,COLORADO,ARCHULETA,5189,REPUBLICAN
8009,359,730,961,21.4,675,COLORADO,BACA,317,DEMOCRAT
8011,691,"2,210","1,116",11.4,1354,COLORADO,BENT,732,DEMOCRAT
8013,"10,596","24,916","45,172",62.1,33965,COLORADO,BOULDER,42501,REPUBLICAN
8014,"1,439","6,793","12,562",55.7,2865,COLORADO,BROOMFIELD,29077,DEMOCRAT
8015,"1,004","4,193","5,082",33.8,2070,COLORADO,CHAFFEE,7160,DEMOCRAT
8017,112,492,477,19.2,243,COLORADO,CHEYENNE,993,REPUBLICAN
8019,102,"1,613","2,115",48.1,709,COLORADO,CLEAR CREEK,3604,DEMOCRAT
8021,636,"1,794","1,747",21,1624,COLORADO,CONEJOS,2286,REPUBLICAN
8023,532,684,"1,038",19.3,955,COLORADO,COSTILLA,741,REPUBLICAN
8025,540,"1,653","1,339",9,1249,COLORADO,CROWLEY,437,DEMOCRAT
8027,244,791,"1,537",32.5,577,COLORADO,CUSTER,2474,REPUBLICAN
8029,"2,071","8,544","6,843",21.7,4602,COLORADO,DELTA,5887,DEMOCRAT
8031,"60,938","85,694","110,587",49.4,86020,COLORADO,DENVER,71618,REPUBLICAN
8033,86,506,469,24.1,262,COLORADO,DOLORES,341,DEMOCRAT
8035,"4,158","26,712","62,264",58,9622,COLORADO,DOUGLAS,121270,REPUBLICAN
8037,"4,522","5,854","9,968",47.2,4365,COLORADO,EAGLE,9892,REPUBLICAN
